本地编码,药品名称,制剂规格,标准关联状态,待处理原因,是否已有产品
MED-2026-W189-01,乌拉地尔缓释（片剂、胶囊）,30mg,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T054-02,二母宁嗽丸（颗粒、片）,每 100 丸重 10g颗粒剂：每袋装 3g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T054-03,二母宁嗽丸（颗粒、片）,每丸重 10g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-W315-03,二甲双胍肠溶（片剂、胶囊）,0.25g,UNMAPPED,尚未建立标准关联；已有标准身份可复用，需核对具体剂型,否
MED-2026-W315-04,二甲双胍肠溶（片剂、胶囊）,0.5g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T283-01,云南白药散,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T283-03,云南白药贴膏剂,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T283-04,云南白药酊剂,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T283-02,云南白药（胶囊、膏、酊、气雾剂）,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T283-05,云南白药（胶囊、膏、酊、气雾剂）,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W050-01,人干扰素人干扰素α1b注射液,10μg∶0.5ml,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W050-02,人干扰素人干扰素α1b注射液,30μg∶1ml注射用人干扰素α1b ∶10μg,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W050-03,人干扰素人干扰素α1b注射液,30μg人干扰素α2a 注射液,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W050-04,人干扰素人干扰素α1b注射液,注射用人干扰素α2a ∶300 万 IU,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W050-05,人干扰素人干扰素α1b注射液,500 万 IU人干扰素α2b 注射液,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W050-06,人干扰素人干扰素α1b注射液,注射用人干扰素α2b ∶300 万 IU,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W050-07,人干扰素人干扰素α1b注射液,500 万 IU,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W294,低分子量肝素注射液,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T078-01,健脾生血颗粒（片）,每 1g 相当于饮片 0.36g,MISMATCH,成分片段不是完整规格,否
MED-2026-T078-02,健脾生血颗粒（片）,含硫酸亚铁（FeSO4 ·7H2O）20mg（相当于铁 4mg）,MISMATCH,成分片段不是完整规格,否
MED-2026-T277-02,冰硼散,每瓶 1.5g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T277-03,冰硼散,每瓶 2g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T277-04,冰硼散,每瓶 3g,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T031-02,十滴水酊剂,每瓶 10ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T031-03,十滴水酊剂,每瓶 100ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T031-04,十滴水酊剂,每瓶 500ml,UNMAPPED,尚未建立标准关联；规格/剂型/单位等字段需按原文修正,否
MED-2026-T174,华佗再造丸,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T092-01,参芪降糖颗粒（胶囊、片）,每 1g 相当于饮片2.39g,MISMATCH,成分片段不是完整规格,否
MED-2026-T092-02,参芪降糖颗粒（胶囊、片）,含人参茎叶总皂苷17.14mg,MISMATCH,成分片段不是完整规格,否
MED-2026-W410,口服补液盐散剂(Ⅰ、Ⅱ、Ⅲ),常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W073-03,吗啡口服溶液剂,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W073-04,吗啡注射液,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W073-01,吗啡片,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W073-02,吗啡缓释片,常规说明书规格,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-W431,国家免疫规划用疫苗常规定制,以国家专项规定为准,UNMAPPED,尚未建立标准关联；现有参考目录无可匹配规格,否
MED-2026-T136-02,复方丹参片（颗粒、胶囊、滴丸）,每片重 0.32g （相当于饮片 0.6g）,MISMATCH,剂型段落粘连或归属不明,否
